item_id,department,category,subcategory,brand,production_date,sold_date,days_to_sell,production_price,sold_price
1,Children,Shoes,Sneakers,Old Navy,2025-11-10,2025-12-23,43.0,6.84,4.63
2,Children,Bottoms,Jeans,Adidas,2025-11-09,2025-11-17,8.0,17.08,18.08
3,Children,Bottoms,Leggings,Columbia,2025-11-08,2025-11-19,11.0,24.68,23.44
4,Mens,Jackets,Bomber,H&M,2025-11-06,2025-11-15,9.0,7.04,6.18
5,Mens,Shoes,Loafers,Levi's,2025-11-11,2025-11-19,8.0,15.23,13.86
6,Womens,Shoes,Sneakers,Adidas,2025-11-07,,,9.59,
7,Children,Shoes,Sandals,Uniqlo,2025-11-11,2025-11-21,10.0,8.7,7.75
8,Mens,Shoes,Boots,Ralph Lauren,2025-11-09,2025-11-13,4.0,23.49,21.92
9,Mens,Shoes,Sneakers,Lululemon,2025-11-12,,,27.66,
10,Mens,Shoes,Loafers,Levi's,2025-11-06,2025-11-19,13.0,22.79,21.54
11,Womens,Dresses,Mini Dress,Gap,2025-11-12,2025-12-08,26.0,14.91,10.56
12,Children,Tops,Sweatshirt,Columbia,2025-11-08,2025-12-09,31.0,25.73,18.09
13,Children,Bottoms,Leggings,Lululemon,2025-11-10,2025-11-20,10.0,36.05,34.96
14,Mens,Jackets,Puffer,Carhartt,2025-11-12,2025-12-01,19.0,18.53,13.53
15,Womens,Tops,Blouse,Columbia,2025-11-06,2025-11-10,4.0,23.49,26.13
16,Womens,Outerwear,Coat,Gap,2025-11-11,2025-11-19,8.0,11.38,11.79
17,Children,Bottoms,Joggers,Old Navy,2025-11-06,2025-11-16,10.0,12.5,10.89
18,Mens,Shoes,Sneakers,Columbia,2025-11-06,2025-11-11,5.0,19.94,18.85
19,Mens,Jackets,Denim Jacket,Adidas,2025-11-07,2025-11-17,10.0,15.5,14.99
20,Mens,Shoes,Boots,Patagonia,2025-11-12,2025-12-01,19.0,34.4,26.23
21,Womens,Pants,Trousers,Nike,2025-11-06,2025-11-13,7.0,14.43,14.69
22,Children,Bottoms,Shorts,Levi's,2025-11-09,2025-11-25,16.0,15.75,14.27
23,Mens,Jackets,Blazer,Ralph Lauren,2025-11-06,2025-11-08,2.0,26.03,25.96
24,Mens,Shoes,Sandals,Nike,2025-11-07,2025-11-20,13.0,21.6,19.84
25,Children,Shoes,Slip-ons,Patagonia,2025-11-06,2025-11-19,13.0,24.19,21.82
26,Children,Shoes,Boots,Ralph Lauren,2025-11-08,2025-11-11,3.0,24.29,26.75
27,Children,Tops,Polo,Nike,2025-11-09,2025-11-12,3.0,17.91,20.61
28,Children,Bottoms,Joggers,Old Navy,2025-11-08,,,10.3,
29,Womens,Dresses,Mini Dress,Nike,2025-11-10,2025-11-12,2.0,17.98,17.43
30,Womens,Shoes,Flats,Zara,2025-11-11,,,9.75,
31,Children,Shoes,Sneakers,H&M,2025-11-12,2025-11-18,6.0,9.18,8.95
32,Womens,Tops,Sweater,Uniqlo,2025-11-11,2025-11-23,12.0,9.21,8.69
33,Mens,Shirts,Polo,Patagonia,2025-11-12,2025-11-28,16.0,21.6,19.49
34,Womens,Dresses,Mini Dress,Carhartt,2025-11-09,2025-12-01,22.0,24.26,17.21
35,Womens,Tops,T-Shirt,Gap,2025-11-12,2025-12-29,47.0,13.56,9.66
36,Womens,Dresses,Mini Dress,The North Face,2025-11-11,2025-11-12,1.0,18.8,19.44
37,Mens,Jackets,Blazer,Patagonia,2025-11-10,2025-12-14,34.0,30.39,19.71
38,Womens,Outerwear,Jacket,Columbia,2025-11-08,,,20.45,
39,Children,Outerwear,Sweater,The North Face,2025-11-12,2025-11-19,7.0,25.6,26.12
40,Mens,Pants,Chinos,Nike,2025-11-12,2025-11-14,2.0,19.14,19.52
41,Mens,Jackets,Blazer,Zara,2025-11-11,2025-11-24,13.0,7.63,6.19
42,Children,Tops,Hoodie,Columbia,2025-11-11,2025-12-19,38.0,22.86,15.92
43,Mens,Pants,Chinos,Zara,2025-11-12,2025-11-29,17.0,9.35,7.64
44,Mens,Shirts,Henley,Uniqlo,2025-11-12,2025-11-29,17.0,13.58,10.27
45,Mens,Jackets,Puffer,Zara,2025-11-09,,,10.88,
46,Mens,Shirts,Henley,Columbia,2025-11-07,2025-11-09,2.0,23.48,24.47
47,Womens,Tops,Tank Top,Adidas,2025-11-08,2025-11-23,15.0,20.8,19.01
48,Mens,Shirts,T-Shirt,Ralph Lauren,2025-11-09,2025-11-28,19.0,21.54,16.58
49,Womens,Dresses,Maxi Dress,Uniqlo,2025-11-12,,,12.34,
50,Mens,Shoes,Sneakers,Gap,2025-11-10,2025-11-30,20.0,9.93,7.61
51,Mens,Pants,Jeans,Old Navy,2025-11-08,,,9.58,
52,Children,Bottoms,Shorts,Zara,2025-11-10,2025-12-06,26.0,9.74,7.22
53,Mens,Jackets,Denim Jacket,Zara,2025-11-07,,,7.61,
54,Womens,Tops,Blouse,Levi's,2025-11-12,,,27.25,
55,Mens,Pants,Chinos,Lululemon,2025-11-06,2025-11-20,14.0,37.83,34.9
56,Womens,Tops,Blouse,Carhartt,2025-11-10,2025-12-04,24.0,19.77,13.11
57,Children,Tops,T-Shirt,H&M,2025-11-09,2025-12-11,32.0,8.38,5.86
58,Mens,Pants,Dress Pants,Columbia,2025-11-07,,,28.09,
59,Children,Tops,Sweatshirt,Carhartt,2025-11-09,,,25.38,
60,Children,Shoes,Sneakers,Ralph Lauren,2025-11-06,2025-11-17,11.0,26.12,26.19
61,Womens,Dresses,Casual Dress,Columbia,2025-11-12,2025-11-18,6.0,34.34,31.22
62,Womens,Outerwear,Blazer,Lululemon,2025-11-10,2025-11-17,7.0,29.12,29.11
63,Mens,Shirts,Henley,Old Navy,2025-11-11,2025-11-13,2.0,12.11,11.82
64,Womens,Tops,Sweater,Zara,2025-11-12,2025-12-05,23.0,10.28,7.78
65,Womens,Dresses,Maxi Dress,Zara,2025-11-07,,,10.68,
66,Mens,Shirts,Button-Down,Ralph Lauren,2025-11-08,2025-11-23,15.0,24.57,22.61
67,Children,Tops,T-Shirt,Zara,2025-11-07,,,13.82,
68,Mens,Shirts,Button-Down,Ralph Lauren,2025-11-11,2025-11-16,5.0,20.76,22.19
69,Womens,Outerwear,Cardigan,Uniqlo,2025-11-12,2025-12-23,41.0,11.53,8.64
70,Womens,Outerwear,Coat,Columbia,2025-11-11,2025-12-09,28.0,25.99,19.23
71,Womens,Tops,Sweater,Levi's,2025-11-12,2025-11-13,1.0,24.23,28.37
72,Mens,Pants,Jeans,Uniqlo,2025-11-12,,,14.58,
73,Mens,Shirts,Henley,The North Face,2025-11-06,2025-11-15,9.0,21.72,20.6
74,Mens,Pants,Cargo Pants,Old Navy,2025-11-08,2025-11-12,4.0,6.0,6.69
75,Children,Outerwear,Jacket,Adidas,2025-11-10,2025-11-15,5.0,18.66,17.53
76,Mens,Shoes,Boots,Columbia,2025-11-07,2025-11-10,3.0,21.32,22.3
77,Womens,Pants,Trousers,Carhartt,2025-11-06,2025-11-24,18.0,16.89,12.73
78,Children,Shoes,Boots,Columbia,2025-11-07,2025-12-13,36.0,27.64,17.98
79,Children,Outerwear,Raincoat,Gap,2025-11-11,2025-11-14,3.0,12.61,13.87
80,Womens,Dresses,Casual Dress,Gap,2025-11-11,2025-12-15,34.0,8.02,5.61
81,Children,Shoes,Sandals,Patagonia,2025-11-07,2025-12-07,30.0,32.94,22.31
82,Womens,Tops,Sweater,Uniqlo,2025-11-08,,,15.37,
83,Mens,Shirts,T-Shirt,Zara,2025-11-11,2025-11-14,3.0,8.77,8.45
84,Womens,Dresses,Maxi Dress,Levi's,2025-11-08,2025-11-21,13.0,23.19,20.45
85,Womens,Pants,Leggings,Ralph Lauren,2025-11-07,2025-12-10,33.0,35.22,23.11
86,Womens,Outerwear,Cardigan,H&M,2025-11-06,2025-12-10,34.0,8.35,5.36
87,Womens,Pants,Trousers,H&M,2025-11-10,2025-11-22,12.0,6.96,5.72
88,Womens,Shoes,Boots,Adidas,2025-11-09,2025-11-13,4.0,19.84,20.38
89,Children,Outerwear,Puffer,Nike,2025-11-10,,,19.34,
90,Children,Outerwear,Jacket,Uniqlo,2025-11-11,2025-11-28,17.0,9.67,8.37
91,Children,Tops,T-Shirt,Zara,2025-11-08,2025-11-23,15.0,10.99,9.93
92,Children,Shoes,Boots,Levi's,2025-11-10,2025-11-15,5.0,24.21,26.58
93,Children,Bottoms,Leggings,Zara,2025-11-08,2025-12-07,29.0,5.42,3.94
94,Children,Outerwear,Jacket,Nike,2025-11-09,,,19.73,
95,Mens,Shirts,T-Shirt,Zara,2025-11-08,2025-11-20,12.0,13.17,12.75
96,Mens,Pants,Chinos,Carhartt,2025-11-12,2025-12-28,46.0,19.9,14.04
97,Mens,Jackets,Blazer,Lululemon,2025-11-10,2025-12-09,29.0,28.46,18.93
98,Mens,Shoes,Loafers,Columbia,2025-11-07,2025-11-15,8.0,28.84,28.52
99,Womens,Shoes,Boots,Columbia,2025-11-07,2025-11-19,12.0,17.03,16.62
100,Children,Bottoms,Jeans,Lululemon,2025-11-12,2025-12-14,32.0,40.08,30.44
101,Children,Tops,Hoodie,Zara,2025-11-10,2025-11-25,15.0,8.98,7.35
102,Children,Shoes,Sandals,Zara,2025-11-12,2025-12-06,24.0,9.22,6.24
103,Children,Shoes,Sneakers,The North Face,2025-11-08,,,26.5,
104,Children,Bottoms,Shorts,Adidas,2025-11-08,2025-11-17,9.0,11.89,10.56
105,Children,Shoes,Boots,Zara,2025-11-06,2025-11-07,1.0,12.16,13.6
106,Children,Tops,Polo,Ralph Lauren,2025-11-06,2025-11-19,13.0,30.54,25.9
107,Mens,Pants,Cargo Pants,Levi's,2025-11-08,2025-12-03,25.0,17.73,12.11
108,Children,Bottoms,Jeans,Columbia,2025-11-08,2025-11-08,0.0,30.67,34.14
109,Children,Shoes,Sneakers,Uniqlo,2025-11-10,2025-11-20,10.0,11.24,10.55
110,Mens,Jackets,Puffer,Lululemon,2025-11-07,2025-11-30,23.0,33.2,22.35
111,Children,Tops,Polo,Patagonia,2025-11-06,2025-11-22,16.0,25.06,19.21
112,Womens,Pants,Wide-Leg Pants,H&M,2025-11-09,2025-11-27,18.0,6.27,4.53
113,Children,Tops,Sweatshirt,Zara,2025-11-08,,,12.73,
114,Mens,Shoes,Loafers,The North Face,2025-11-12,2025-11-14,2.0,35.75,37.44
115,Womens,Dresses,Evening Dress,Zara,2025-11-09,2025-11-22,13.0,11.21,9.84
116,Mens,Pants,Cargo Pants,Nike,2025-11-11,2025-11-16,5.0,14.49,15.16
117,Womens,Outerwear,Jacket,The North Face,2025-11-10,2025-11-12,2.0,39.72,43.65
118,Womens,Outerwear,Cardigan,Zara,2025-11-07,2025-11-12,5.0,11.1,10.72
119,Mens,Shirts,T-Shirt,Gap,2025-11-07,,,9.82,
120,Womens,Shoes,Boots,Columbia,2025-11-07,,,15.1,
121,Mens,Jackets,Denim Jacket,H&M,2025-11-08,2025-11-10,2.0,6.42,7.15
122,Children,Shoes,Sandals,Patagonia,2025-11-07,2025-11-08,1.0,23.53,23.77
123,Children,Tops,Hoodie,Old Navy,2025-11-10,2025-11-17,7.0,8.78,8.38
124,Mens,Shirts,T-Shirt,Old Navy,2025-11-07,2025-11-30,23.0,13.14,9.96
125,Mens,Jackets,Denim Jacket,Lululemon,2025-11-11,,,30.84,
126,Children,Shoes,Sandals,Zara,2025-11-06,,,12.57,
127,Mens,Pants,Jeans,Lululemon,2025-11-12,2025-11-25,13.0,42.44,38.15
128,Mens,Jackets,Bomber,Zara,2025-11-11,,,9.24,
129,Womens,Shoes,Sneakers,Ralph Lauren,2025-11-08,,,24.8,
130,Children,Outerwear,Puffer,Old Navy,2025-11-07,2025-11-10,3.0,10.23,10.7
131,Children,Tops,Sweatshirt,Uniqlo,2025-11-07,2025-11-17,10.0,14.11,13.94
132,Mens,Shirts,Button-Down,Nike,2025-11-10,2025-11-22,12.0,16.42,15.66
133,Children,Bottoms,Joggers,Carhartt,2025-11-11,2025-11-22,11.0,26.69,23.35
134,Mens,Pants,Chinos,Ralph Lauren,2025-11-12,2025-11-17,5.0,22.22,21.93
135,Womens,Tops,T-Shirt,Adidas,2025-11-11,2025-11-27,16.0,19.7,15.13
136,Mens,Shoes,Sandals,Lululemon,2025-11-08,,,33.25,
